1,The cat is _____ on the mat.,sit,sits,sat,sitting,D
2,He _____ to school every day.,walk,walks,walked,walking,B
3,She _____ a book yesterday.,read,reads,was reading,read,C
4,They _____ to the beach last summer.,go,goes,went,going,C
5,My sister _____ in London.,live,lives,lived,living,B
6,The sun _____ in the sky.,shine,shines,shone,shining,B
7,We _____ dinner at 7 o'clock.,have,has,had,are having,D
8,He _____ his homework yesterday.,did,does,doing,done,A
9,The baby _____ loudly in the other room.,cry,cries,cried,crying,B
10,She _____ her keys on the table.,put,puts,putting,put,A
11,They _____ a movie last night.,watch,watches,watched,watching,C
12,The birds _____ on the trees.,sing,sings,sang,are singing,D
13,He _____ the cake for his birthday.,bake,bakes,baked,baking,C
14,We _____ to the park every Sunday.,go,goes,went,going,A
15,The teacher _____ the students in the classroom.,teach,teaches,taught,teaching,C
16,My brother _____ soccer every weekend.,play,plays,played,playing,B
17,She _____ her friend on the phone.,call,calls,called,calling,C
18,He _____ a new car last month.,buy,buys,bought,buying,C
19,I _____ my keys. I can't find them anywhere.,lose,loses,lost,losing,C
20,They _____ their homework now.,do,does,doing,done,D
21,She _____ her hair every morning.,brush,brushes,brushed,brushing,A
22,The baby _____ at her mother.,smile,smiles,smiled,smiling,B
23,He _____ a cold last week.,have,has,had,having,C
24,They _____ their lunch in the cafeteria.,eat,eats,ate,eating,A
25,The dog _____ in the garden.,run,runs,ran,running,A
26,She _____ English very well.,speak,speaks,spoke,speaking,B
27,We _____ to the zoo last Sunday.,go,goes,went,going,C
28,He _____ his bike to work every day.,ride,rides,rode,riding,B
29,The baby _____ his bottle.,drink,drinks,drank,drinking,A
30,She _____ her umbrella because it's raining.,bring,brings,brought,bringing,C
31,They _____ a new house next year.,buy,buys,bought,buying,A
32,He _____ his breakfast every morning.,eat,eats,ate,eating,B
33,She _____ her homework last night.,do,does,doing,done,A
34,The cat _____ the mouse.,catch,catches,caught,catching,B
35,We _____ TV in the living room.,watch,watches,watched,watching,A
36,He _____ his sister to school every day.,take,takes,took,taking,D
37,She _____ her hair every morning.,wash,washes,washed,washing,A
38,They _____ dinner at the restaurant last night.,have,has,had,having,C
39,He _____ his leg in the accident.,break,breaks,broke,breaking,C
40,She _____ a cake for her birthday.,bake,bakes,baked,baking,B
41,The children _____ in the playground.,play,plays,played,playing,A
